keyword,emotion
happy,joy
joyful,joy
cheerful,joy
excited,joy
elated,joy
content,joy
love,love
affection,love
romantic,love
passion,love
adoration,love
fondness,love
sad,sadness
unhappy,sadness
depressed,sadness
melancholy,sadness
heartbroken,sadness
gloomy,sadness
angry,anger
furious,anger
irritated,anger
annoyed,anger
resentful,anger
outraged,anger
fear,fear
scared,fear
frightened,fear
anxious,fear
nervous,fear
terrified,fear
surprised,surprise
astonished,surprise
amazed,surprise
startled,surprise
shocked,surprise
stunned,surprise
calm,joy
peaceful,joy
hopeful,joy
optimistic,joy
worried,fear
disappointed,sadness
jealous,anger
lonely,sadness
thankful,joy
grateful,joy
bored,sadness
confident,joy
relaxed,joy
sympathetic,love
devoted,love
humiliated,anger
embarrassed,sadness
euphoric,joy
contented,joy
wistful,sadness
pensative,sadness
restless,fear
terrified,fear
startled,surprise
